# Order matters: earlier keys are matched first (longest overlapping keys first).
key	expansion
див. також	дивись також
до н. е.	до нашої ери
і т. д.	і так далі
і т. ін.	і таке інше
пн. ш.	північної широти
пд. ш.	південної широти
сх. д.	східної довготи
зх. д.	західної довготи
грн.	гривень
коп.	копійок
н. е.	нашої ери
т. б.	тобто
рр.	роки
р-н	район
б/в	був у використанні
та ін.	та інші
див.	дивись
напр.	наприклад
прибл.	приблизно
проф.	професор
доц.	доцент
ім.	імені
вул.	вулиця
просп.	проспект
пров.	провулок
буд.	будинок
тел.	телефон
табл.	таблиця
і т. п.	і тому подібне
у т. ч.	у тому числі
зокр.	зокрема
д-р	доктор
інж.	інженер
канд.	кандидат
