acronym	expansion
ПДВ	податок на додану вартість
ЄДРПОУ	єдиний державний реєстр підприємств та організацій України
ФОП	фізична особа підприємець
ТОВ	товариство з обмеженою відповідальністю
АТ	акціонерне товариство
ОСББ	об'єднання співвласників багатоквартирного будинку
ЗСУ	збройні сили України
СБУ	служба безпеки України
МВС	міністерство внутрішніх справ
ДСНС	державна служба України з надзвичайних ситуацій
НПУ	національна поліція України
ДБР	державне бюро розслідувань
НАБУ	національне антикорупційне бюро України
САП	спеціалізована антикорупційна прокуратура
НАЗК	національне агентство з питань запобігання корупції
НБУ	національний банк України
КМУ	кабінет міністрів України
ВРУ	верховна рада України
ЦВК	центральна виборча комісія
МОН	міністерство освіти і науки України
МОЗ	міністерство охорони здоров'я України
ДПС	державна податкова служба України
ЄС	європейський союз
УЗ	українська залізниця
ОВА	обласна військова адміністрація
РДА	районна державна адміністрація
ШІ	штучний інтелект
ІТ	інформаційні технології
ПЗ	програмне забезпечення
ООН	організація об'єднаних націй
НАТО	організація північноатлантичного договору
ВООЗ	всесвітня організація охорони здоров'я
МВФ	міжнародний валютний фонд
ДНК	дезоксирибонуклеїнова кислота
РНК	рибонуклеїнова кислота
ВПО	внутрішньо переміщена особа
ЦНАП	центр надання адміністративних послуг
ЗВО	заклад вищої освіти
НСЗУ	національна служба здоров'я України
ПФУ	пенсійний фонд України
ЄСПЛ	європейський суд з прав людини
ЮНЕСКО	організація об'єднаних націй з питань освіти, науки і культури
НАНУ	національна академія наук України
МАГАТЕ	міжнародне агентство з атомної енергії
