key	grammatical_case
# Case forms for counted nouns: instrumental and locative plural.
користувачами	instr
користувачах	prep
документами	instr
документах	prep
файлами	instr
файлах	prep
товарами	instr
товарах	prep
учасниками	instr
учасниках	prep
днями	instr
днях	prep
тижнями	instr
тижнях	prep
місяцями	instr
місяцях	prep
заявками	instr
заявках	prep
спробами	instr
спробах	prep
людьми	instr
людях	prep
особами	instr
особах	prep
дітьми	instr
дітях	prep
містами	instr
містах	prep
селами	instr
селах	prep
питаннями	instr
питаннях	prep
книгами	instr
книгах	prep
сторінками	instr
сторінках	prep
помилками	instr
помилках	prep
піснями	instr
піснях	prep
годинами	instr
годинах	prep
хвилинами	instr
хвилинах	prep
секундами	instr
секундах	prep
задачами	instr
задачах	prep
квитками	instr
квитках	prep
пристроями	instr
пристроях	prep
серверами	instr
серверах	prep
сайтами	instr
сайтах	prep
записами	instr
записах	prep
рядками	instr
рядках	prep
курсами	instr
курсах	prep
словами	instr
словах	prep
будинками	instr
будинках	prep
квартирами	instr
квартирах	prep
кімнатами	instr
кімнатах	prep
офісами	instr
офісах	prep
магазинами	instr
магазинах	prep
школами	instr
школах	prep
компаніями	instr
компаніях	prep
країнами	instr
країнах	prep
областями	instr
областях	prep
вулицями	instr
вулицях	prep
дорогами	instr
дорогах	prep
машинами	instr
машинах	prep
автомобілями	instr
автомобілях	prep
автобусами	instr
автобусах	prep
поїздами	instr
поїздах	prep
літаками	instr
літаках	prep
пакетами	instr
пакетах	prep
листами	instr
листах	prep
номерами	instr
номерах	prep
прикладами	instr
прикладах	prep
програмами	instr
програмах	prep
додатками	instr
додатках	prep
застосунками	instr
застосунках	prep
проєктами	instr
проєктах	prep
системами	instr
системах	prep
мережами	instr
мережах	prep
запитами	instr
запитах	prep
відповідями	instr
відповідях	prep
командами	instr
командах	prep
тестами	instr
тестах	prep
версіями	instr
версіях	prep
таблицями	instr
таблицях	prep
базами	instr
базах	prep
ключами	instr
ключах	prep
портами	instr
портах	prep
каналами	instr
каналах	prep
повідомленнями	instr
повідомленнях	prep
замовленнями	instr
замовленнях	prep
рішеннями	instr
рішеннях	prep
завданнями	instr
завданнях	prep
оновленнями	instr
оновленнях	prep
правилами	instr
правилах	prep
полями	instr
полях	prep
значеннями	instr
значеннях	prep
зображеннями	instr
зображеннях	prep
студентами	instr
студентах	prep
учнями	instr
учнях	prep
вчителями	instr
вчителях	prep
лікарями	instr
лікарях	prep
пацієнтами	instr
пацієнтах	prep
працівниками	instr
працівниках	prep
клієнтами	instr
клієнтах	prep
покупцями	instr
покупцях	prep
гостями	instr
гостях	prep
жінками	instr
жінках	prep
чоловіками	instr
чоловіках	prep
пляшками	instr
пляшках	prep
коробками	instr
коробках	prep
порціями	instr
порціях	prep
рецептами	instr
рецептах	prep
статтями	instr
статтях	prep
книжками	instr
книжках	prep
журналами	instr
журналах	prep
газетами	instr
газетах	prep
добами	instr
добах	prep
