# Active ISO 4217 List One codes, based on the SIX maintenance-agency list published 2026-01-01.
# word_re is the Ukrainian word-form regex fragment matched after an amount (empty = none).
# trailing_symbol: also match a bare "<digits> <symbol>" pattern.
# minor_digits is the ISO minor-unit exponent; 0 is also used for N.A. fund/metal/test codes.
# Order matters: earlier currencies win when patterns overlap.
code	symbol	word_re	main_one	main_few	main_many	main_fem	sub_one	sub_few	sub_many	sub_fem	trailing_symbol	minor_digits
UAH	₴	грн(ив(ень|ні|ня))?	гривня	гривні	гривень	1	копійка	копійки	копійок	1	1	2
USD	$	долар(ів|и|а)?	долар	долари	доларів	0	цент	центи	центів	0	0	2
EUR	€	євро	євро	євро	євро	0	євроцент	євроценти	євроцентів	0	1	2
GBP	£	фунт(ів|и|а)?	фунт	фунти	фунтів	0	пенс	пенси	пенсів	0	0	2
PLN	zł	злот(их|і|ий)?	злотий	злоті	злотих	0	ґрош	ґроші	ґрошів	0	1	2
CHF		франк(ів|и|а)?	франк	франки	франків	0	сантим	сантими	сантимів	0	0	2
JPY	¥	єн(и|а)?	єна	єни	єн	1	сен	сени	сенів	0	1	0
CNY	元	юан(ів|і|ь)?	юань	юані	юанів	0	фень	фені	фенів	0	1	2
CZK	Kč		крона	крони	крон	1	гелер	гелери	гелерів	0	1	2
CAD			канадський долар	канадські долари	канадських доларів	0	цент	центи	центів	0	0	2
AUD			австралійський долар	австралійські долари	австралійських доларів	0	цент	центи	центів	0	0	2
SEK			шведська крона	шведські крони	шведських крон	1	ере	ере	ере	0	0	2
NOK			норвезька крона	норвезькі крони	норвезьких крон	1	ере	ере	ере	0	0	2
DKK			данська крона	данські крони	данських крон	1	ере	ере	ере	0	0	2
TRY	₺	лір(и|а)?	ліра	ліри	лір	1	куруш	куруші	курушів	0	1	2
INR	₹	руп(ія|ії|ій)	рупія	рупії	рупій	1	пайс	пайси	пайсів	0	1	2
RUB	₽	рубл(ів|і|ь|я)?	рубль	рублі	рублів	0	копійка	копійки	копійок	1	1	2
KRW	₩	вон(и|а)?	вона	вони	вон	1	чон	чони	чонів	0	1	0
BRL	R$	реал(ів|и|а)?	бразильський реал	бразильські реали	бразильських реалів	0	сентаво	сентаво	сентаво	0	0	2
ZAR		ранд(ів|и|а)?	південноафриканський ранд	південноафриканські ранди	південноафриканських рандів	0	цент	центи	центів	0	0	2
NZD			новозеландський долар	новозеландські долари	новозеландських доларів	0	цент	центи	центів	0	0	2
MXN			мексиканський песо	мексиканські песо	мексиканських песо	0	сентаво	сентаво	сентаво	0	0	2
SGD			сінгапурський долар	сінгапурські долари	сінгапурських доларів	0	цент	центи	центів	0	0	2
HKD			гонконзький долар	гонконзькі долари	гонконзьких доларів	0	цент	центи	центів	0	0	2
AFN	؋		афгані	афгані	афгані	0	пул	пули	пулів	0	1	2
ALL			лек	леки	леків	0	кіндарка	кіндарки	кіндарок	1	0	2
DZD			алжирський динар	алжирські динари	алжирських динарів	0	сантим	сантими	сантимів	0	0	2
AOA			ангольська кванза	ангольські кванзи	ангольських кванз	1	сентимо	сентимо	сентимо	0	0	2
XCD			східнокарибський долар	східнокарибські долари	східнокарибських доларів	0	цент	центи	центів	0	0	2
XAD			арабський розрахунковий динар	арабські розрахункові динари	арабських розрахункових динарів	0	сота частина	соті частини	сотих частин	1	0	2
ARS			аргентинське песо	аргентинські песо	аргентинських песо	0	сентаво	сентаво	сентаво	0	0	2
AMD	֏		вірменський драм	вірменські драми	вірменських драмів	0	лума	луми	лумів	0	1	2
AWG			арубський флорин	арубські флорини	арубських флоринів	0	цент	центи	центів	0	0	2
AZN	₼		азербайджанський манат	азербайджанські манати	азербайджанських манатів	0	гяпік	гяпіки	гяпіків	0	1	2
BSD			багамський долар	багамські долари	багамських доларів	0	цент	центи	центів	0	0	2
BHD			бахрейнський динар	бахрейнські динари	бахрейнських динарів	0	філс	філси	філсів	0	0	3
BDT	৳		така	таки	так	1	пайса	пайси	пайс	1	1	2
BBD			барбадоський долар	барбадоські долари	барбадоських доларів	0	цент	центи	центів	0	0	2
BYN			білоруський рубль	білоруські рублі	білоруських рублів	0	копійка	копійки	копійок	1	0	2
BZD			белізький долар	белізькі долари	белізьких доларів	0	цент	центи	центів	0	0	2
XOF			західноафриканський франк КФА	західноафриканські франки КФА	західноафриканських франків КФА	0	сантим	сантими	сантимів	0	0	0
BMD			бермудський долар	бермудські долари	бермудських доларів	0	цент	центи	центів	0	0	2
BTN			бутанський нгултрум	бутанські нгултруми	бутанських нгултрумів	0	четрум	четруми	четрумів	0	0	2
BOB			болівіано	болівіано	болівіано	0	сентаво	сентаво	сентаво	0	0	2
BOV			розрахунковий болівіано	розрахункові болівіано	розрахункових болівіано	0	сота частина	соті частини	сотих частин	1	0	2
BAM			конвертована марка	конвертовані марки	конвертованих марок	1	фенінг	фенінги	фенінгів	0	0	2
BWP			ботсванська пула	ботсванські пули	ботсванських пул	1	тхебе	тхебе	тхебе	0	0	2
BND			брунейський долар	брунейські долари	брунейських доларів	0	сен	сени	сенів	0	0	2
BIF			бурундійський франк	бурундійські франки	бурундійських франків	0	сантим	сантими	сантимів	0	0	0
CVE			ескудо Кабо-Верде	ескудо Кабо-Верде	ескудо Кабо-Верде	0	сентаво	сентаво	сентаво	0	0	2
KHR			камбоджійський рієль	камбоджійські рієлі	камбоджійських рієлів	0	сен	сени	сенів	0	0	2
XAF			центральноафриканський франк КФА	центральноафриканські франки КФА	центральноафриканських франків КФА	0	сантим	сантими	сантимів	0	0	0
KYD			долар Кайманових Островів	долари Кайманових Островів	доларів Кайманових Островів	0	цент	центи	центів	0	0	2
CLP			чилійське песо	чилійські песо	чилійських песо	0	сентаво	сентаво	сентаво	0	0	0
CLF			чилійська розрахункова одиниця	чилійські розрахункові одиниці	чилійських розрахункових одиниць	1	десятитисячна частина	десятитисячні частини	десятитисячних частин	1	0	4
COP			колумбійське песо	колумбійські песо	колумбійських песо	0	сентаво	сентаво	сентаво	0	0	2
COU			колумбійська реальна вартісна одиниця	колумбійські реальні вартісні одиниці	колумбійських реальних вартісних одиниць	1	сота частина	соті частини	сотих частин	1	0	2
KMF			коморський франк	коморські франки	коморських франків	0	сантим	сантими	сантимів	0	0	0
CDF			конголезький франк	конголезькі франки	конголезьких франків	0	сантим	сантими	сантимів	0	0	2
CRC	₡		костариканський колон	костариканські колони	костариканських колонів	0	сентимо	сентимо	сентимо	0	1	2
CUP			кубинське песо	кубинські песо	кубинських песо	0	сентаво	сентаво	сентаво	0	0	2
XCG			карибський гульден	карибські гульдени	карибських гульденів	0	цент	центи	центів	0	0	2
DJF			джибутійський франк	джибутійські франки	джибутійських франків	0	сантим	сантими	сантимів	0	0	0
DOP			домініканське песо	домініканські песо	домініканських песо	0	сентаво	сентаво	сентаво	0	0	2
EGP			єгипетський фунт	єгипетські фунти	єгипетських фунтів	0	піастр	піастри	піастрів	0	0	2
SVC			сальвадорський колон	сальвадорські колони	сальвадорських колонів	0	сентаво	сентаво	сентаво	0	0	2
ERN			еритрейська накфа	еритрейські накфи	еритрейських накф	1	цент	центи	центів	0	0	2
SZL			свазілендський лілангені	свазілендські лілангені	свазілендських лілангені	0	цент	центи	центів	0	0	2
ETB			ефіопський бир	ефіопські бири	ефіопських бирів	0	сантим	сантими	сантимів	0	0	2
FKP			фунт Фолклендських Островів	фунти Фолклендських Островів	фунтів Фолклендських Островів	0	пенс	пенси	пенсів	0	0	2
FJD			фіджійський долар	фіджійські долари	фіджійських доларів	0	цент	центи	центів	0	0	2
XPF			французький тихоокеанський франк	французькі тихоокеанські франки	французьких тихоокеанських франків	0	сантим	сантими	сантимів	0	0	0
GMD			гамбійський даласі	гамбійські даласі	гамбійських даласі	0	бутут	бутути	бутутів	0	0	2
GEL	₾		грузинський ларі	грузинські ларі	грузинських ларі	0	тетрі	тетрі	тетрі	0	1	2
GHS	₵		ганський седі	ганські седі	ганських седі	0	песева	песева	песева	0	1	2
GIP			гібралтарський фунт	гібралтарські фунти	гібралтарських фунтів	0	пенс	пенси	пенсів	0	0	2
GTQ			гватемальський кетсаль	гватемальські кетсалі	гватемальських кетсалів	0	сентаво	сентаво	сентаво	0	0	2
GNF			гвінейський франк	гвінейські франки	гвінейських франків	0	сантим	сантими	сантимів	0	0	0
GYD			гаянський долар	гаянські долари	гаянських доларів	0	цент	центи	центів	0	0	2
HTG			гаїтянський гурд	гаїтянські гурди	гаїтянських гурдів	0	сантим	сантими	сантимів	0	0	2
HNL			гондураська лемпіра	гондураські лемпіри	гондураських лемпір	1	сентаво	сентаво	сентаво	0	0	2
HUF			угорський форинт	угорські форинти	угорських форинтів	0	філер	філери	філерів	0	0	2
ISK			ісландська крона	ісландські крони	ісландських крон	1	ейре	ейре	ейре	0	0	0
IDR			індонезійська рупія	індонезійські рупії	індонезійських рупій	1	сен	сени	сенів	0	0	2
XDR			спеціальне право запозичення	спеціальні права запозичення	спеціальних прав запозичення	0	частина	частини	частин	1	0	0
IRR			іранський ріал	іранські ріали	іранських ріалів	0	динар	динари	динарів	0	0	2
IQD			іракський динар	іракські динари	іракських динарів	0	філс	філси	філсів	0	0	3
ILS	₪		новий ізраїльський шекель	нові ізраїльські шекелі	нових ізраїльських шекелів	0	агора	агори	агор	1	1	2
JMD			ямайський долар	ямайські долари	ямайських доларів	0	цент	центи	центів	0	0	2
JOD			йорданський динар	йорданські динари	йорданських динарів	0	філс	філси	філсів	0	0	3
KZT	₸		казахстанський тенге	казахстанські тенге	казахстанських тенге	0	тиїн	тиїни	тиїнів	0	1	2
KES			кенійський шилінг	кенійські шилінги	кенійських шилінгів	0	цент	центи	центів	0	0	2
KPW			північнокорейська вона	північнокорейські вони	північнокорейських вон	1	чон	чони	чонів	0	0	2
KWD			кувейтський динар	кувейтські динари	кувейтських динарів	0	філс	філси	філсів	0	0	3
KGS			киргизький сом	киргизькі соми	киргизьких сомів	0	тиїн	тиїни	тиїнів	0	0	2
LAK	₭		лаоський кіп	лаоські кіпи	лаоських кіпів	0	ат	ати	атів	0	1	2
LBP			ліванський фунт	ліванські фунти	ліванських фунтів	0	піастр	піастри	піастрів	0	0	2
LSL			лесотський лоті	лесотські лоті	лесотських лоті	0	сенте	сенте	сенте	0	0	2
LRD			ліберійський долар	ліберійські долари	ліберійських доларів	0	цент	центи	центів	0	0	2
LYD			лівійський динар	лівійські динари	лівійських динарів	0	дирхам	дирхами	дирхамів	0	0	3
MOP			макаоська патака	макаоські патаки	макаоських патак	1	аво	аво	аво	0	0	2
MKD			македонський денар	македонські денари	македонських денарів	0	дені	дені	дені	0	0	2
MGA			малагасійський аріарі	малагасійські аріарі	малагасійських аріарі	0	іраймбіланджа	іраймбіланджа	іраймбіланджа	0	0	2
MWK			малавійська квача	малавійські квачі	малавійських квач	1	тамбала	тамбали	тамбал	1	0	2
