code	one	few	many	decimal	feminine
BTC	біткоїн	біткоїни	біткоїнів	біткоїна	0
ETH	ефір	ефіри	ефірів	ефіра	0
USDT	тезер	тезери	тезерів	тезера	0
BNB	бі ен бі	бі ен бі	бі ен бі	бі ен бі	0
SOL	солана	солани	солан	солани	1
XRP	ікс ар пі	ікс ар пі	ікс ар пі	ікс ар пі	0
ADA	ада	ади	ад	ади	1
DOGE	доджкоїн	доджкоїни	доджкоїнів	доджкоїна	0
USDC	ю ес ді сі	ю ес ді сі	ю ес ді сі	ю ес ді сі	0
TRX	трон	трони	тронів	трона	0
TON	тонкоїн	тонкоїни	тонкоїнів	тонкоїна	0
DOT	полкадот	полкадоти	полкадотів	полкадота	0
LINK	чейнлінк	чейнлінки	чейнлінків	чейнлінка	0
LTC	лайткоїн	лайткоїни	лайткоїнів	лайткоїна	0
BCH	біткоїн кеш	біткоїни кеш	біткоїнів кеш	біткоїна кеш	0
AVAX	аваланч	аваланчі	аваланчів	аваланча	0
XLM	стелар	стелари	стеларів	стелара	0
HBAR	гедера	гедери	гедер	гедери	1
SHIB	шіба-іну	шіба-іну	шіба-іну	шіба-іну	0
DAI	дай	даї	даїв	дая	0
UNI	юнісвап	юнісвапи	юнісвапів	юнісвапа	0
ATOM	космос	космоси	космосів	космоса	0
XMR	монеро	монеро	монеро	монеро	0
ETC	ефіріум класик	ефіріуми класик	ефіріумів класик	ефіріума класик	0
ICP	інтернет-комп'ютер	інтернет-комп'ютери	інтернет-комп'ютерів	інтернет-комп'ютера	0
NEAR	ніар	ніари	ніарів	ніара	0
APT	аптос	аптоси	аптосів	аптоса	0
FIL	файлкоїн	файлкоїни	файлкоїнів	файлкоїна	0
CRO	кронос	кроноси	кроносів	кроноса	0
OKB	оу кей бі	оу кей бі	оу кей бі	оу кей бі	0
LDO	лідо	лідо	лідо	лідо	0
ARB	арбітрум	арбітруми	арбітрумів	арбітрума	0
OP	оптимізм	оптимізми	оптимізмів	оптимізма	0
AAVE	ааве	ааве	ааве	ааве	0
MKR	мейкер	мейкери	мейкерів	мейкера	0
GRT	зе граф	зе граф	зе граф	зе граф	0
ALGO	алгоранд	алгоранди	алгорандів	алгоранда	0
VET	вічейн	вічейни	вічейнів	вічейна	0
QNT	квант	кванти	квантів	кванта	0
FTM	фантом	фантоми	фантомів	фантома	0
SUI	суї	суї	суї	суї	0
SEI	сей	сеї	сеїв	сея	0
INJ	інджектив	інджективи	інджективів	інджектива	0
RENDER	рендер	рендери	рендерів	рендера	0
RNDR	рендер	рендери	рендерів	рендера	0
TAO	біттензор	біттензори	біттензорів	біттензора	0
IMX	ім'ютабл ікс	ім'ютабл ікс	ім'ютабл ікс	ім'ютабл ікс	0
STX	стекс	стекси	стексів	стекса	0
PEPE	пепе	пепе	пепе	пепе	0
BONK	бонк	бонки	бонків	бонка	0
WIF	догвіфгет	догвіфгети	догвіфгетів	догвіфгета	0
FLOKI	флокі	флокі	флокі	флокі	0
POL	полігон	полігони	полігонів	полігона	0
MATIC	матік	матіки	матіків	матіка	0
KAS	каспа	каспи	касп	каспи	1
TIA	селестія	селестії	селестій	селестії	1
JUP	юпітер	юпітери	юпітерів	юпітера	0
ENA	етена	етени	етен	етени	1
ONDO	ондо	ондо	ондо	ондо	0
PYTH	піт нетворк	піт нетворк	піт нетворк	піт нетворк	0
RUNE	торчейн	торчейни	торчейнів	торчейна	0
THETA	тета	тети	тет	тети	1
EOS	еос	еоси	еосів	еоса	0
XTZ	тезос	тезоси	тезосів	тезоса	0
FLOW	флоу	флоу	флоу	флоу	0
EGLD	елронд	елронди	елрондів	елронда	0
KCS	кукоїн токен	кукоїн токени	кукоїн токенів	кукоїн токена	0
BSV	біткоїн ес ві	біткоїни ес ві	біткоїнів ес ві	біткоїна ес ві	0
WBTC	обгорнутий біткоїн	обгорнуті біткоїни	обгорнутих біткоїнів	обгорнутого біткоїна	0
1INCH	ванінч	ванінчі	ванінчів	ванінча	0
UAH	гривня	гривні	гривень	гривні	1
USD	долар США	долари США	доларів США	долара США	0
EUR	євро	євро	євро	євро	0
GBP	фунт стерлінгів	фунти стерлінгів	фунтів стерлінгів	фунта стерлінгів	0
