key	one	few	many	decimal	gender
км	кілометр	кілометри	кілометрів	кілометра	m
km	кілометр	кілометри	кілометрів	кілометра	m
м	метр	метри	метрів	метра	m
m	метр	метри	метрів	метра	m
см	сантиметр	сантиметри	сантиметрів	сантиметра	m
мм	міліметр	міліметри	міліметрів	міліметра	m
дм	дециметр	дециметри	дециметрів	дециметра	m
мкм	мікрометр	мікрометри	мікрометрів	мікрометра	m
µm	мікрометр	мікрометри	мікрометрів	мікрометра	m
μm	мікрометр	мікрометри	мікрометрів	мікрометра	m
нм	нанометр	нанометри	нанометрів	нанометра	m
пм	пікометр	пікометри	пікометрів	пікометра	m
in	дюйм	дюйми	дюймів	дюйма	m
ft	фут	фути	футів	фута	m
yd	ярд	ярди	ярдів	ярда	m
mi	миля	милі	миль	милі	f
кг	кілограм	кілограми	кілограмів	кілограма	m
kg	кілограм	кілограми	кілограмів	кілограма	m
г	грам	грами	грамів	грама	m
мг	міліграм	міліграми	міліграмів	міліграма	m
т	тонна	тонни	тонн	тонни	f
tonne	тонна	тонни	тонн	тонни	f
tonnes	тонна	тонни	тонн	тонни	f
ton	тонна	тонни	тонн	тонни	f
tons	тонна	тонни	тонн	тонни	f
oz	унція	унції	унцій	унції	f
lb	фунт	фунти	фунтів	фунта	m
л	літр	літри	літрів	літра	m
мл	мілілітр	мілілітри	мілілітрів	мілілітра	m
gal	галон	галони	галонів	галона	m
год	година	години	годин	години	f
хв	хвилина	хвилини	хвилин	хвилини	f
с	секунда	секунди	секунд	секунди	f
s	секунда	секунди	секунд	секунди	f
K	кельвін	кельвіни	кельвінів	кельвіна	m
К	кельвін	кельвіни	кельвінів	кельвіна	m
га	гектар	гектари	гектарів	гектара	m
м²	квадратний метр	квадратні метри	квадратних метрів	квадратного метра	m
м2	квадратний метр	квадратні метри	квадратних метрів	квадратного метра	m
см²	квадратний сантиметр	квадратні сантиметри	квадратних сантиметрів	квадратного сантиметра	m
см2	квадратний сантиметр	квадратні сантиметри	квадратних сантиметрів	квадратного сантиметра	m
